0,40.76648039412854  -111.89409177144559,NA,-7,40.75,-111.85,1505,"Data Version: 3.6 / Type: Typical Year / LatLon Resolution: 0.100 / Time Resolution: 60 minutes / Averaging Method: End of Period / TD: No / Copyright 2010-2023 Clean Power Research®, L.L.C. DownloadID=a34a1bae-21c1-46af-89f7-9bb1fbf14b1a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2)),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2004,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-1,,,,,,81,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/01/2004,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,0,,,,,,79,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/01/2004,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-1,,,,,,77,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/01/2004,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-1,,,,,,74,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/01/2004,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-2,,,,,,71,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/01/2004,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-3,,,,,,68,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/01/2004,07:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-2,,,,,,66,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/01/2004,08:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-2,,,,,,64,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/01/2004,09:00,,,34,2,,9,2,,33,2,,,,,,,,,,,,,,,,,,,,-2,,,,,,63,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/01/2004,10:00,,,106,2,,29,2,,99,2,,,,,,,,,,,,,,,,,,,,-1,,,,,,60,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/01/2004,11:00,,,176,2,,52,2,,158,2,,,,,,,,,,,,,,,,,,,,0,,,,,,58,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
01/01/2004,12:00,,,243,2,,112,2,,196,2,,,,,,,,,,,,,,,,,,,,0,,,,,,59,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
01/01/2004,13:00,,,249,2,,97,2,,206,2,,,,,,,,,,,,,,,,,,,,0,,,,,,60,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
01/01/2004,14:00,,,220,2,,62,2,,194,2,,,,,,,,,,,,,,,,,,,,1,,,,,,58,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
01/01/2004,15:00,,,176,2,,57,2,,156,2,,,,,,,,,,,,,,,,,,,,0,,,,,,62,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
01/01/2004,16:00,,,105,2,,27,2,,98,2,,,,,,,,,,,,,,,,,,,,0,,,,,,67,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
01/01/2004,17:00,,,31,2,,7,2,,30,2,,,,,,,,,,,,,,,,,,,,0,,,,,,67,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
01/01/2004,18:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,1,,,,,,68,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
01/01/2004,19:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,1,,,,,,71,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
01/01/2004,20:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,1,,,,,,74,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
01/01/2004,21:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,1,,,,,,76,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
01/01/2004,22:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,0,,,,,,77,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
01/01/2004,23:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,0,,,,,,80,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/02/2004,00:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,0,,,,,,80,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/02/2004,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,0,,,,,,82,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/02/2004,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-1,,,,,,85,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/02/2004,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-1,,,,,,89,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/02/2004,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-2,,,,,,92,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/02/2004,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-2,,,,,,92,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-2,,,,,,93,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,07:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-3,,,,,,92,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,08:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-4,,,,,,90,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,09:00,,,43,2,,85,2,,35,2,,,,,,,,,,,,,,,,,,,,-4,,,,,,88,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,10:00,,,174,2,,400,2,,79,2,,,,,,,,,,,,,,,,,,,,-4,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,11:00,,,315,2,,661,2,,85,2,,,,,,,,,,,,,,,,,,,,-3,,,,,,73,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,12:00,,,407,2,,758,2,,90,2,,,,,,,,,,,,,,,,,,,,-3,,,,,,69,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,13:00,,,468,2,,859,2,,87,2,,,,,,,,,,,,,,,,,,,,-3,,,,,,67,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,14:00,,,455,2,,906,2,,74,2,,,,,,,,,,,,,,,,,,,,-3,,,,,,64,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/02/2004,15:00,,,364,2,,855,2,,64,2,,,,,,,,,,,,,,,,,,,,-3,,,,,,63,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/02/2004,16:00,,,222,2,,722,2,,48,2,,,,,,,,,,,,,,,,,,,,-4,,,,,,60,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
01/02/2004,17:00,,,72,2,,322,2,,41,2,,,,,,,,,,,,,,,,,,,,-4,,,,,,65,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
01/02/2004,18:00,,,1,2,,0,2,,1,2,,,,,,,,,,,,,,,,,,,,-5,,,,,,73,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
01/02/2004,19:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-7,,,,,,78,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/02/2004,20:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-8,,,,,,83,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/02/2004,21:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-10,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/02/2004,22:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-10,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/02/2004,23:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-11,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,00:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-10,,,,,,84,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-10,,,,,,83,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-10,,,,,,82,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-11,,,,,,83,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-10,,,,,,82,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-10,,,,,,82,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-9,,,,,,83,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,07:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-8,,,,,,83,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/03/2004,08:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,-8,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/03/2004,09:00,,,27,2,,1,2,,27,2,,,,,,,,,,,,,,,,,,,,-7,,,,,,75,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/03/2004,10:00,,,99,2,,17,2,,95,2,,,,,,,,,,,,,,,,,,,,-7,,,,,,73,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
01/03/2004,11:00,,,154,2,,19,2,,147,2,,,,,,,,,,,,,,,,,,,,-7,,,,,,75,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
01/03/2004,12:00,,,180,2,,17,2,,173,2,,,,,,,,,,,,,,,,,,,,-7,,,,,,81,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01/03/2004,13:00,,,176,2,,9,2,,172,2,,,,,,,,,,,,,,,,,,,,-7,,,,,,86,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
01/03/2004,14:00,,,170,2,,14,2,,164,2,,,,,,,,,,,,,,,,,,,,-7,,,,,,88,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
01/03/2004,15:00,,,169,2,,44,2,,154,2,,,,,,,,,,,,,,,,,,,,-7,,,,,,87,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
